DATE,POPTOTUSA647NWDB
1960-01-01,180671000
1961-01-01,183691000
1962-01-01,186538000
1963-01-01,189242000
1964-01-01,191889000
1965-01-01,194303000
1966-01-01,196560000
1967-01-01,198712000
1968-01-01,200706000
1969-01-01,202677000
1970-01-01,205052000
1971-01-01,207661000
1972-01-01,209896000
1973-01-01,211909000
1974-01-01,213854000
1975-01-01,215973000
1976-01-01,218035000
1977-01-01,220239000
1978-01-01,222585000
1979-01-01,225055000
1980-01-01,227225000
1981-01-01,229466000
1982-01-01,231664000
1983-01-01,233792000
1984-01-01,235825000
1985-01-01,237924000
1986-01-01,240133000
1987-01-01,242289000
1988-01-01,244499000
1989-01-01,246819000
1990-01-01,249623000
1991-01-01,252981000
1992-01-01,256514000
1993-01-01,259919000
1994-01-01,263126000
1995-01-01,266278000
1996-01-01,269394000
1997-01-01,272657000
1998-01-01,275854000
1999-01-01,279040000
2000-01-01,282162411
2001-01-01,284968955
2002-01-01,287625193
2003-01-01,290107933
2004-01-01,292805298
2005-01-01,295516599
2006-01-01,298379912
2007-01-01,301231207
2008-01-01,304093966
2009-01-01,306771529
2010-01-01,309327143
2011-01-01,311583481
2012-01-01,313877662
2013-01-01,316059947
2014-01-01,318386329
2015-01-01,320738994
2016-01-01,323071755
2017-01-01,325122128
2018-01-01,326838199
2019-01-01,328329953
2020-01-01,331501080.0
2021-01-01,331893745
